JobTitle,Location,DatePosted
Lead Functional Analyst,"Cary, NC, US, 27513","Mar24, 2022"
Application Architect - Java (remote / work from home),"Cary, NC, US, 27513+2more…","Mar23, 2022"
Senior Cyber Security Threat Hunter,"Cary, NC, US, 27513","Mar23, 2022"
Senior Actuarial Associate - Actuarial Development Program,"Tampa, FL, US, 33647+4more…","Mar23, 2022"
Analyst - Public Fixed Income Client Services,"Philadelphia, PA, US, 19103","Mar23, 2022"
Senior Technology Liaison,"Warwick, RI, US, 2886+2more…","Mar23, 2022"
Account Executive - San Francisco Bay Area,"SanFrancisco, CA, US, 94105","Mar23, 2022"
"Product & Value Management, Value Management Group, Actuary, GG10","Tokyo, JP","Mar23, 2022"
"Corporate Counsel, Investments Law - Products, Distribution, & Operations Unit","Whippany, NJ, US, 7981+3more…","Mar23, 2022"
Unit Manager-BigData Development,"Noida, IN, 0","Mar23, 2022"
Lead Software Development Engineer,"Cary, NC, US, 27513","Mar23, 2022"
UAT Senior Consultant,"Cary, NC, US, 27513+1more…","Mar23, 2022"
Senior Lead Business Applications QA Consultant,"Tampa, FL, US, 33647+1more…","Mar23, 2022"
Implementation Leader I,"Tampa, FL, US, 33647","Mar23, 2022"
Underwriting Consultant,"Irvine, CA, US, 92614","Mar23, 2022"
Digital Marketing Manager - Investment Management Marketing,"NewYork, NY, US, 10166+1more…","Mar23, 2022"
Finance Specialist,"Noida, IN, 0","Mar23, 2022"
Team Leader- Technology Services,"Noida, IN, 0","Mar23, 2022"
Client Services Consultant II,"Dallas, TX, US, 75240+3more…","Mar23, 2022"
Client Services Analyst II,"Tampa, FL, US, 33647","Mar23, 2022"
Manager - Technology Services,"Noida, IN, 0","Mar23, 2022"
"Director, Senior Mortgage Producer","Washington, DC, US, 20005","Mar23, 2022"
Implementation Leader II,"Tampa, FL, US, 33647","Mar23, 2022"
Client Services Consultant II,"Bridgewater, NJ, US, 8807","Mar23, 2022"
Project Principal,"Cary, NC, US, 27513","Mar23, 2022"
Clinical Support Consultant,"Remote, US, 0","Mar23, 2022"
Sr Case Management Specialist,"Tampa, FL, US, 33647","Mar23, 2022"
Senior Principal Engineer- US Digital,"Cary, NC, US, 27513","Mar23, 2022"
Sr. Software Dev Engineer Test,"Cary, NC, US, 27513","Mar23, 2022"
"Public Fixed Income Head of Risk, MIM Risk Management","Whippany, NJ, US, 7981","Mar22, 2022"
Auditor,"Warwick, RI, US, 2886","Mar22, 2022"
Assistant Manager- Operations,"Noida, IN, 0","Mar22, 2022"
Director -  IT Service Financial Management / TBM,"Cary, NC, US, 27513","Mar22, 2022"
Consultant - Analytics,"Noida, IN, 0","Mar22, 2022"
Associate Director - Investment Manager Oversight,"Whippany, NJ, US, 7981","Mar22, 2022"
Business Management Consultant,"Cary, NC, US, 27513","Mar22, 2022"
Senior Technology Liaison - Virtual,"Bridgewater, NJ, US, 8807+1more…","Mar22, 2022"
Team Leader-Technology Services,"Noida, IN, 0","Mar22, 2022"
Corporate Counsel - Investments Law,"Whippany, NJ, US, 7981","Mar22, 2022"
Full Stack Software Engineer,"Whippany, NJ, US, 7981","Mar22, 2022"
Assistant Manager-Big Data Development,"Noida, IN, 0","Mar22, 2022"
Senior Manager - Operations,"Noida, IN, 0","Mar22, 2022"
"VP, Risk & Business Controls - Global Technology","NewYork, NY, US, 10166+2more…","Mar22, 2022"
Sr. Accounts Associate,"Jaipur, IN, 0","Mar22, 2022"
Principal - Complex Deals,"Cary, NC, US, 27513","Mar22, 2022"
Vendor Relations and Network Development Consultant,"Wilmington, DE, US, 19801","Mar22, 2022"
Cyber Security Architect- SIEM & SOAR,"Remote, US, 0","Mar22, 2022"
Production Management Consultant,"Cary, NC, US, 27513","Mar22, 2022"
Scrum Lead III,"Cary, NC, US, 27513+1more…","Mar22, 2022"
Business Procedures Analyst,"Bloomfield, CT, US, 6002+3more…","Mar22, 2022"
Customer Care Advocate,"Warwick, RI, US, 2886","Mar22, 2022"
SailPoint IIQ Specialist,"Remote, US, 0+1more…","Mar22, 2022"
Unit Manager Operations,"Noida, IN, 0","Mar22, 2022"
Senior Underwriter,"Dubai, AE","Mar22, 2022"
"AVP, Investments Change Management","Whippany, NJ, US, 7981","Mar22, 2022"
Customer Care Advocate,"Remote, US, 0+1more…","Mar22, 2022"
Claims Approver - Long Term Care,"Tampa, FL, US, 33647","Mar22, 2022"
"Director, Talent Acquisition","Remote, US, 0","Mar22, 2022"
Sr. Functional Analyst,"Cary, NC, US, 27513","Mar22, 2022"
Unit Manager-Operations,"Noida, IN, 0","Mar21, 2022"
"AVP, Endpoint Security Protection","Cary, NC, US, 27513","Mar21, 2022"
Client Services Consultant I,"Atlanta, GA, US, 30328+2more…","Mar21, 2022"
Entity Manager,"Aurora, IL, US, 60504+3more…","Mar21, 2022"
"SVP, Product Head - Dental, Vision, HS&SA and Accident & Health","Bridgewater, NJ, US, 8807","Mar21, 2022"
Associate Director - Commercial Mortgage-Backed Securities,"Whippany, NJ, US, 7981","Mar21, 2022"
Consultant - Analytics,"Noida, IN, 0","Mar21, 2022"
Manager - Regulatory Reporting,"Tampa, FL, US, 33647","Mar21, 2022"
Executive Recruiter,"Remote, US, 0","Mar21, 2022"
Digital Automation Engineer 1,"Bridgewater, NJ, US, 8807","Mar21, 2022"
Lead Business Planning and Strategy Consultant,"Cary, NC, US, 27513","Mar21, 2022"
Billing Account Representative,"Remote, US, 0","Mar21, 2022"
Product Director - Dental & Vision,"Remote, US, 0+12more…","Mar21, 2022"
Analyst - Loan Management,"SanFrancisco, CA, US, 94105","Mar21, 2022"
Manager - Technology Services,"Noida, IN, 0","Mar21, 2022"
2022 Group Benefits Sales (GBS) Summer Internship Program,"Bridgewater, NJ, US, 8807","Mar20, 2022"
Specialist-Technology Services,"Noida, IN, 0","Mar20, 2022"
Insurance Relationship Manager - Institutional Client Group,"Whippany, NJ, US, 7981","Mar20, 2022"
Associate - Loan Management,"Washington, DC, US, 20005","Mar20, 2022"
Dental Plan Network Recruiter,"Remote, US, 0","Mar20, 2022"
Agile Coach / SAFe Specialist,"Cary, NC, US, 27513","Mar20, 2022"
Dental Plan Network Recruiter,"Remote, US, 0","Mar20, 2022"
Dental Plan Network Recruiter,"Remote, US, 0","Mar20, 2022"
Associate - Loan Asset Management,"Atlanta, GA, US, 30326","Mar20, 2022"
Lead Security Architect - IDaaS /  IAM,"Cary, NC, US, 27513","Mar20, 2022"
Associate Director; Private Capital,"London, GB+1more…","Mar20, 2022"
Software Engineer - Specialist,"Noida, IN, 0","Mar20, 2022"
Client Services Consultant II,"Aurora, IL, US, 60504","Mar19, 2022"
Infrastructure Solution Engineer,"Dublin, IE+1more…","Mar19, 2022"
"Director, HR Business Partner Asia",HK,"Mar19, 2022"
Senior QA Project Lead,"Galway, IE","Mar19, 2022"
Unit Manager-Technology Services,"Noida, IN, 0","Mar19, 2022"
Software Development Engineer I,"Galway, IE","Mar19, 2022"
Software Development Engineer II (CCM Developer),"Galway, IE","Mar19, 2022"
Senior Application Support Engineer,"Galway, IE","Mar19, 2022"
"Product & Value Management, Value Management Group, Actuary Manager, GG12","Tokyo, JP","Mar19, 2022"
Operational Risk Management Lead - LatAm,"Tampa, FL, US, 33647+7more…","Mar19, 2022"
Lead Administrator,"Tampa, FL, US, 33647","Mar19, 2022"
Operational Risk Management Lead - EMEA/Asia,"Tampa, FL, US, 33647+7more…","Mar19, 2022"
Client Services Consultant II,"Aurora, IL, US, 60504+1more…","Mar19, 2022"
Operational Risk Management Lead - US,"Tampa, FL, US, 33647+7more…","Mar19, 2022"
"Director, Group Benefits Marketing, Digital Engagement","Bridgewater, NJ, US, 8807+2more…","Mar19, 2022"
Consultant II - Creative Design,"Noida, IN, 0","Mar19, 2022"
"Real Estate Head of Risk, MIM Risk","Whippany, NJ, US, 7981","Mar19, 2022"
Lead Business Systems Analyst - Data,"Galway, IE","Mar19, 2022"
Senior Compliance Consultant,"NewYork, NY, US, 10166+2more…","Mar19, 2022"
Assistant Manager,"Noida, IN, 0","Mar18, 2022"
"Actuary, Longevity Reinsurance Pricing","NewYork, NY, US, 10166","Mar18, 2022"
Client Services Consultant II,"Tampa, FL, US, 33647+1more…","Mar18, 2022"
Account Executive,"Brookfield, WI, US, 53045","Mar18, 2022"
Assistant Manager-Technology Services,"Noida, IN, 0","Mar18, 2022"
Client Services Consultant I,"NewYork, NY, US, 10166+6more…","Mar18, 2022"
"Internal Audit, Technology Audit Team, Assistant Manager, GG11","Tokyo, JP","Mar18, 2022"
"Internal Audit, Technology Audit Team, Manager, GG12","Tokyo, JP","Mar18, 2022"
Service Academy Trainee (June 2022 Start),"Aurora, IL, US, 60504+1more…","Mar18, 2022"
Director- Group Contracts Cross Functional Services,"Bridgewater, NJ, US, 8807","Mar18, 2022"
Sr Quantitative Risk Analyst,"Whippany, NJ, US, 7981+1more…","Mar18, 2022"
Paralegal,"Whippany, NJ, US, 7981","Mar18, 2022"
Customer Services Advisor - Employee Benefits New Business Administrator,"Brighton, GB+2more…","Mar18, 2022"
Senior Merger and Acquisition Associate,"NewYork, NY, US, 10166","Mar18, 2022"
Financial Consultant I - Large Accounts,"Irvine, CA, US, 92614+2more…","Mar18, 2022"
Lead Data Engineer,"Cary, NC, US, 27513+1more…","Mar18, 2022"
Lead Business Systems Analyst,"Cary, NC, US, 27513+1more…","Mar18, 2022"
"Director of Administration, Retirement and Income Solutions Operations","Tampa, FL, US, 33647","Mar18, 2022"
Senior Client Services Consultant,"Dallas, TX, US, 75240+3more…","Mar18, 2022"
Senior Software Development Engineer,"Cary, NC, US, 27513","Mar18, 2022"
Supervisor - Administration,"Tampa, FL, US, 33647","Mar18, 2022"
Client Services Consultant II,"Bridgewater, NJ, US, 8807","Mar18, 2022"
Case Management Coordinator,"Dubai, AE","Mar18, 2022"
Associate Director - Asset Manager - Real Estate,"Washington, DC, US, 20005","Mar18, 2022"
Analyst - Derivatives,"Whippany, NJ, US, 7981","Mar18, 2022"
New Business Analyst,"Alpharetta, GA, US, 30009","Mar17, 2022"
Assistant Manager-Technology Services,"Noida, IN, 0","Mar17, 2022"
Associate - Public Fixed Income,"Philadelphia, PA, US, 19103","Mar17, 2022"
IT Audit Manager,"Cary, NC, US, 27513","Mar17, 2022"
Sr. Analyst - Real Estate Debt - Chicago Regional Office,"Chicago, IL, US, 60606","Mar17, 2022"
Technology Liaison,"Bridgewater, NJ, US, 8807+1more…","Mar17, 2022"
Senior Tax Accountant,"St.Louis, MO, US, 11330","Mar17, 2022"
Business Risk and Control Consultant,"Tampa, FL, US, 33647+2more…","Mar17, 2022"
Customer Experience Specialist,"Jeffersonville, IN, US, 47130","Mar17, 2022"
Software Development Engineer I,"Noida, IN, 0","Mar17, 2022"
Unit Manager-Technology Services,"Noida, IN, 0","Mar17, 2022"
Assistant Manager- Technology Services,"Noida, IN, 0","Mar17, 2022"
Team Leader - Technology Services,"Noida, IN, 0","Mar17, 2022"
Principal - IT Costing,"Cary, NC, US, 27513","Mar17, 2022"
Senior Contract Development Consultant,"Aurora, IL, US, 60504","Mar17, 2022"
Lead Software Development Engineer,"Cary, NC, US, 27513","Mar17, 2022"
IT PMO Analyst,"Remote, US, 0","Mar17, 2022"
Senior Database Engineer,"Cary, NC, US, 27513","Mar17, 2022"
Senior Project Lead,"Cary, NC, US, 27513+1more…","Mar17, 2022"
Consultant - Analytics,"Noida, IN, 0","Mar16, 2022"
Principal Architect - Digital,"Cary, NC, US, 27513","Mar16, 2022"
International Investments Chief Compliance Officer (CCO),"London, GB+1more…","Mar16, 2022"
Consultant - Analytics,"Noida, IN, 0","Mar16, 2022"
Software Engineer,"Cary, NC, US, 27513","Mar16, 2022"
Lead Software Dev Engineer Test,"Cary, NC, US, 27513","Mar16, 2022"
Software Engineer,"Cary, NC, US, 27513","Mar16, 2022"
Scrum Lead III,"Cary, NC, US, 27513+2more…","Mar16, 2022"
Sr. DevOps Engineer,"Cary, NC, US, 27513","Mar16, 2022"
Assistant Manager Operations,"Noida, IN, 0","Mar16, 2022"
Consultant - Analytics,"Noida, IN, 0","Mar16, 2022"
Analyst - Middle Office Derivatives,"Whippany, NJ, US, 7981","Mar16, 2022"
Security Engineer - IAM / PAM,"Cary, NC, US, 27513","Mar16, 2022"
Senior Manager - Technology Services,"Noida, IN, 0","Mar16, 2022"
Finance Specialist,"Noida, IN, 0","Mar16, 2022"
"Director, Private Credit - Client Portfolio Management - Product Specialist","Whippany, NJ, US, 7981","Mar16, 2022"
Lead Business Systems Analyst,"Cary, NC, US, 27513+2more…","Mar16, 2022"
Full Stack Software Engineer,"Cary, NC, US, 27513","Mar16, 2022"
Agricultural Real Estate Loan Officer,"Bellevue, WA, US, 98007+32more…","Mar15, 2022"
Investments Business Planning & Strategy Associate,"Whippany, NJ, US, 7981","Mar15, 2022"
Global Strategic Partnership and Business Integration,"NewYork, NY, US, 10166","Mar15, 2022"
Senior Business Procedures Consultant II,"Tampa, FL, US, 33647","Mar15, 2022"
Claims Approver - LTC - Virtual,"Tampa, FL, US, 33647","Mar15, 2022"
Assistant Manager,"Noida, IN, 0","Mar15, 2022"
Scrum Lead I,"Greenville, SC, US, 29607","Mar15, 2022"
Business Analyst,"Charlotte, NC, US, 28277","Mar15, 2022"
"VP, Product Head - Upwise","NewYork, NY, US, 10166","Mar15, 2022"
Financial Analyst - Private Fixed Income,"Whippany, NJ, US, 7981","Mar15, 2022"
Assistant Manager- Operations,"Noida, IN, 0","Mar15, 2022"
"Legal, Litigation & Insurance Law Team, Manager, GG12","Tokyo, JP","Mar15, 2022"
"Legal, Litigation & Insurance Law Team, Director, GG13","Tokyo, JP","Mar15, 2022"
Sr. Talent Advisor - MetLife Investments,"Whippany, NJ, US, 7981","Mar15, 2022"
Accounts Payable Representative III,"Baltimore, MD, US, 21236","Mar15, 2022"
Underwriter,"KansasCity, MO, US, 64116+2more…","Mar15, 2022"
Senior Lead Business Systems Analyst,"Cary, NC, US, 27513","Mar15, 2022"
Specialists-IT Operations,"Noida, IN, 0","Mar14, 2022"
Actuary,"NewYork, NY, US, 10166","Mar14, 2022"
Director - IT Audit (cloud),"Tampa, FL, US, 33647+3more…","Mar14, 2022"
"VP Corporate Development, Mergers & Acquisition","NewYork, NY, US, 10166","Mar14, 2022"
Senior Counsel - Technology Legal,"NewYork, NY, US, 10166","Mar14, 2022"
Legal Administrative Associate,"NewYork, NY, US, 10166","Mar14, 2022"
Windows & VMware System Administrator,"Cary, NC, US, 27513","Mar14, 2022"
Senior IT Auditor II,"Cary, NC, US, 27513","Mar14, 2022"
Legal Administrative Associate,"NewYork, NY, US, 10166","Mar14, 2022"
"Senior Manager, Visual & Design Systems Designer - Upwise","NewYork, NY, US, 10166","Mar14, 2022"
"Senior Manager, Product Designer - Upwise","NewYork, NY, US, 10166","Mar14, 2022"
Digital Marketing Specialist - Investment Management Marketing,"NewYork, NY, US, 10166+1more…","Mar14, 2022"
Associate - Global Rates & Currencies,"Whippany, NJ, US, 7981","Mar14, 2022"
Client Services Consultant II,"Tampa, FL, US, 33647+1more…","Mar14, 2022"
Senior Client Services Consultant,"Tampa, FL, US, 33647+1more…","Mar14, 2022"
Firewall and Network Security Specialist,"Cary, NC, US, 27513","Mar14, 2022"
Senior BSA - IT Service Management Platform (ServiceNow),"Cary, NC, US, 27513","Mar14, 2022"
Client Services Consultant I,"Remote, US, 0","Mar14, 2022"
Senior Client Services Administrator,"Remote, US, 0","Mar14, 2022"
Contract Analyst II,"Aurora, IL, US, 60504","Mar14, 2022"
Client Services Consultant,"Tampa, FL, US, 33647+1more…","Mar14, 2022"
Team Leader - Technology Services,"Noida, IN, 0","Mar14, 2022"
"Agile Project Principal, Asia","KualaLumpur, MY","Mar14, 2022"
Client Services Consultant,"Tampa, FL, US, 33647+1more…","Mar14, 2022"
Group Account Management Consultant,"Houston, TX, US, 77042+1more…","Mar14, 2022"
Senior Sales Compensation Payment Specialist,"Tampa, FL, US, 33647","Mar14, 2022"
Senior Client Services Consultant,"Tampa, FL, US, 33647+1more…","Mar14, 2022"
Full Stack Software Engineer,"Cary, NC, US, 27513","Mar14, 2022"
Unit Manager - Technology Services,"Noida, IN, 0","Mar14, 2022"
Business Planning Consultant - Virtual,"NewYork, NY, US, 10166+1more…","Mar14, 2022"
Project Lead,"Cary, NC, US, 27513","Mar14, 2022"
Senior Project Lead II,"Cary, NC, US, 27513","Mar14, 2022"
Software Development Engineer,"Cary, NC, US, 27513","Mar12, 2022"
Manager-Financial Nat'l Accts,"Dallas, TX, US, 75240+4more…","Mar12, 2022"
Analyst - Loan Management,"MexicoCity, MX","Mar12, 2022"
Senior Software Development Engineer,"Cary, NC, US, 27513","Mar12, 2022"
Principal Software Engineer,"Cary, NC, US, 27513","Mar12, 2022"
Senior Claims Specialist - Long Term Care (Virtual),"Tampa, FL, US, 33647+2more…","Mar12, 2022"
Associate - Infrastructure and Project Finance,"Whippany, NJ, US, 7981","Mar12, 2022"
Senior Software Engineer,"Galway, IE","Mar12, 2022"
Senior Actuarial Associate - Actuarial Development Program,"Whippany, NJ, US, 7981+2more…","Mar12, 2022"
Senior QA Project Lead,"Galway, IE","Mar12, 2022"
"Customer Value, Project Management Group, Analyst, GG9","Tokyo, JP","Mar12, 2022"
"AVP, Corporate Accounting Policy and Group Operations","NewYork, NY, US, 10166+2more…","Mar12, 2022"
Quantitative Analytics & Reporting Sr. Analyst,"Whippany, NJ, US, 7981","Mar12, 2022"
Internal Controls Consultant,"NewYork, NY, US, 10166","Mar12, 2022"
"Senior Manager, Customer Data & Analytics, Marketing Sciences","NewYork, NY, US, 10166","Mar11, 2022"
Underwriter,"Aurora, IL, US, 60504+4more…","Mar11, 2022"
Director - Communications,"Whippany, NJ, US, 7981","Mar11, 2022"
Associate - Investments/Private Fixed Income,"Whippany, NJ, US, 7981","Mar11, 2022"
Client Services Consultant II,"Aurora, IL, US, 60504+4more…","Mar11, 2022"
Research & Resolution Rep IV - Virtual,"WestDesMoines, IA, US, 50266+2more…","Mar11, 2022"
Application Security Analyst,"Cary, NC, US, 27513","Mar11, 2022"
Associate Director - Capital Markets Group,"Whippany, NJ, US, 7981","Mar11, 2022"
Lead Architect - DevOps,"Cary, NC, US, 27513","Mar11, 2022"
Actuarial Analyst,"Brighton, GB+4more…","Mar11, 2022"
Group Insurance Administrator,"Oriskany, NY, US, 13424","Mar11, 2022"
"Managing Director, Head of Acquisitions, Real Estate Equity Investments","Whippany, NJ, US, 7981","Mar11, 2022"
Sr Quantitative Analyst - Credit Risk,"Whippany, NJ, US, 7981","Mar11, 2022"
Senior Engagement Lead (Open to Remote),"Cary, NC, US, 27513+1more…","Mar11, 2022"
